                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 2.8289,                 3.4778,                 2.5676,                 2.5555,                 3.9226,                 2.1539,                 0.3007,                0.02718,                 0.0141,                0.00396,                 2.9532,                 3.6909,                 2.7586,                 2.6085,                 4.1768,                  2.359,               0.002674,               0.002674,               0.002674
                     77,                 2.7331,                 3.3936,                 2.4708,                 2.4757,                 3.8485,                 2.0865,                0.28992,                0.03194,                0.01419,                0.00451,                  2.923,                 3.7515,                 2.7773,                 2.5727,                 4.2654,                 2.3826,               0.002575,               0.002575,               0.002575
                     78,                  2.701,                 3.4117,                 2.4801,                 2.4813,                 3.8609,                 2.1347,                0.29934,                0.02462,                0.01269,                0.00372,                 2.9248,                 3.7309,                 2.7772,                 2.5676,                 4.2404,                 2.3825,               0.002476,               0.002476,               0.002476
                     79,                 2.7788,                 3.4315,                 2.5251,                  2.488,                 3.8857,                 2.1479,                0.29925,                0.01471,                0.01505,                0.00432,                 2.9164,                 3.6864,                  2.766,                 2.5769,                 4.1838,                 2.3676,               0.002377,               0.002377,               0.002377
                     80,                 2.7419,                   3.38,                 2.5339,                 2.4446,                 3.7826,                 2.1348,                0.29826,                0.02417,                0.01849,                0.00569,                 2.9458,                  3.698,                 2.7647,                 2.5913,                  4.215,                 2.3561,               0.002278,               0.002278,               0.002278
                     81,                 2.7803,                 3.3828,                 2.4832,                 2.5308,                  3.823,                 2.0899,                0.31017,                0.01693,                0.01373,                 0.0043,                 2.9143,                 3.6741,                 2.7409,                 2.5471,                 4.1733,                 2.3224,               0.002179,               0.002179,               0.002179
                     82,                 2.7116,                  3.405,                 2.5041,                  2.472,                 3.8098,                 2.0843,                0.33915,                0.01655,                 0.0133,                 0.0042,                 2.9556,                 3.7188,                 2.7825,                 2.5856,                 4.2382,                 2.3315,                0.00208,                0.00208,                0.00208
                     83,                 2.7152,                 3.3484,                 2.4964,                 2.4811,                 3.7978,                 2.1381,                0.17627,                0.02481,                 0.0148,                0.00482,                 2.8857,                 3.6676,                 2.7406,                 2.5503,                 4.1726,                 2.3148,               0.001981,               0.001981,               0.001981
                     84,                 2.7315,                 3.3084,                 2.4918,                 2.4835,                 3.7805,                 2.0867,                0.17257,                0.02704,                0.01636,                 0.0055,                 2.8843,                 3.6882,                 2.7529,                 2.5402,                 4.2004,                 2.3309,               0.001882,               0.001882,               0.001882
                     85,                 2.7198,                 3.3825,                 2.5129,                 2.4604,                 3.8283,                 2.1459,                0.17263,                0.02956,                0.01606,                0.00537,                 2.8594,                  3.657,                 2.7119,                 2.5156,                 4.1317,                 2.3078,               0.001783,               0.001783,               0.001783
                     86,                 2.6911,                 3.3742,                   2.46,                 2.3687,                 3.7738,                  2.048,                0.28962,                0.02681,                0.01578,                 0.0055,                 2.8622,                 3.6552,                 2.7302,                  2.522,                 4.1534,                 2.3334,               0.001684,               0.001684,               0.001684
                     87,                 2.6638,                 3.3772,                 2.4953,                 2.4068,                 3.8034,                 2.1395,                0.29496,                0.02275,                0.01545,                  0.005,                 2.9027,                 3.6798,                 2.7618,                 2.5378,                 4.1836,                 2.3445,               0.001585,               0.001585,               0.001585
                     88,                 2.6975,                 3.4337,                 2.4898,                 2.4337,                 3.8919,                  2.104,                0.30423,                0.02184,                0.01681,                0.00528,                 2.8693,                 3.6553,                 2.7284,                 2.5154,                 4.1578,                  2.327,               0.001486,               0.001486,               0.001486
                     89,                 2.6543,                 3.4153,                 2.4672,                 2.3529,                 3.8198,                 2.0869,                 0.2981,                0.02085,                0.01659,                 0.0058,                 2.8463,                 3.6365,                 2.7145,                 2.5209,                 4.1469,                 2.3391,               0.001387,               0.001387,               0.001387
                     90,                 2.7525,                 3.3433,                 2.4913,                 2.4211,                 3.7708,                 2.0543,                 0.1713,                0.02626,                0.01741,                0.00532,                 2.8523,                 3.6293,                 2.7121,                 2.5172,                 4.1235,                 2.3355,               0.001288,               0.001288,               0.001288
                     91,                 2.7001,                 3.5204,                 2.5311,                 2.4191,                  3.933,                 2.1932,                0.30339,                 0.0314,                0.01731,                0.00538,                 2.8403,                 3.6213,                 2.6749,                 2.5308,                  4.096,                 2.3012,               0.001189,               0.001189,               0.001189
                     92,                 2.6866,                 3.4171,                 2.5261,                 2.3686,                 3.8271,                 2.1446,                 0.1685,                0.02484,                0.01472,                0.00424,                  2.851,                 3.6453,                 2.6983,                 2.5395,                 4.1161,                 2.3192,                0.00109,                0.00109,                0.00109
                     93,                 2.6414,                 3.4129,                 2.4903,                 2.3016,                 3.8745,                 2.1049,                0.29812,                0.02795,                0.01609,                0.00549,                 2.8497,                 3.6823,                 2.7246,                 2.5322,                 4.2131,                  2.334,               0.000991,               0.000991,               0.000991
                     94,                  2.611,                 3.3725,                 2.4933,                 2.3666,                  3.785,                 2.1453,                 0.2937,                   0.03,                0.01574,                0.00523,                 2.8482,                 3.6391,                  2.706,                 2.5083,                 4.1292,                 2.3165,               0.000892,               0.000892,               0.000892
                     95,                 2.6423,                 3.4232,                 2.5277,                 2.3572,                 3.8444,                 2.1553,                0.30011,                0.03416,                0.01895,                 0.0063,                 2.8192,                 3.5901,                 2.6867,                 2.4895,                  4.072,                 2.2982,               0.000793,               0.000793,               0.000793
                     96,                 2.6042,                 3.3787,                 2.4826,                  2.363,                 3.8284,                 2.1515,                0.29732,                0.03578,                0.01867,                0.00624,                 2.8154,                 3.5851,                 2.6848,                 2.4858,                 4.0477,                 2.2934,               0.000694,               0.000694,               0.000694
                     97,                 2.6078,                 3.3818,                 2.5018,                 2.3473,                 3.8263,                   2.17,                0.16681,                0.02876,                0.01615,                 0.0054,                 2.8398,                 3.6132,                 2.7058,                 2.4977,                 4.0803,                 2.3151,               0.000595,               0.000595,               0.000595
                     98,                 2.6057,                  3.395,                  2.464,                 2.3599,                 3.7845,                 2.1197,                0.17523,                0.03159,                 0.0191,                 0.0064,                 2.8091,                 3.5758,                 2.6809,                 2.4673,                 4.0494,                 2.2897,               0.000496,               0.000496,               0.000496
                     99,                 2.5855,                 3.3292,                 2.4572,                 2.3566,                 3.7371,                 2.1239,                0.17362,                0.03183,                0.01939,                0.00659,                 2.8083,                 3.5742,                 2.6761,                 2.4749,                 4.0477,                 2.2937,               0.000397,               0.000397,               0.000397
                    100,                 2.6323,                 3.3391,                 2.5041,                 2.3842,                 3.7233,                 2.1525,                0.17494,                0.03353,                0.01986,                0.00675,                 2.8019,                 3.5668,                 2.6729,                  2.472,                 4.0377,                 2.2899,               0.000298,               0.000298,               0.000298
                      1,                 4.1395,                 5.5538,                 4.1861,                 4.0571,                  12.37,                 4.1874,                      0,                      0,                      0,                      0,                 3.7601,                 5.5415,                   4.15,                 3.6122,                 13.184,                 4.1493,                  0.091,                  0.001,                  0.001
                      2,                 3.9096,                 5.3816,                 4.1774,                 3.7556,                 10.493,                 4.1732,                      0,                      0,                      0,                      0,                 3.7561,                  5.516,                 4.1428,                 3.6052,                 12.323,                 4.1412,               0.081079,              0.0020792,              0.0020792
                      3,                 3.8012,                 5.3627,                 4.1894,                 3.6431,                 10.107,                 4.2276,                      0,                      0,                      0,                      0,                 3.7535,                  5.503,                 4.1387,                 3.6007,                 11.942,                 4.1366,               0.071137,              0.0031366,              0.0031366
                      4,                 3.7691,                 5.2719,                 4.1506,                 3.6417,                 9.2269,                 4.1572,                      0,                      0,                      0,                      0,                 3.7501,                 5.4898,                 4.1342,                 3.5962,                  11.61,                 4.1315,               0.061172,              0.0041723,              0.0041723
                      5,                 3.8935,                 5.2704,                 4.1472,                 3.7592,                 9.2353,                   4.15,                      0,                      0,                      0,                      0,                 3.7464,                 5.4743,                 4.1286,                 3.5916,                 11.255,                 4.1257,               0.051186,              0.0051862,              0.0051862
                      6,                 3.9111,                 5.3728,                 4.1401,                 3.8131,                 9.5865,                 4.1296,                      0,                      0,                      0,                      0,                 3.7429,                 5.4638,                 4.1238,                 3.5873,                 11.038,                 4.1211,               0.041178,              0.0061782,              0.0061782
                      7,                 3.7298,                 5.3093,                 4.1332,                  3.514,                 8.9844,                 4.1527,                      0,                      0,                      0,                      0,                 3.7381,                 5.4539,                 4.1182,                 3.5828,                 10.862,                 4.1161,               0.031149,              0.0071486,              0.0071486
                      8,                 3.9609,                 5.3389,                 4.1447,                  3.829,                 9.1058,                 4.1662,                      0,                      0,                      0,                      0,                 3.7355,                 5.4498,                  4.115,                 3.5804,                 10.791,                 4.1134,               0.021097,              0.0080971,              0.0080971
                      9,                 3.8548,                   5.23,                 4.1095,                 3.7283,                 8.6988,                 4.0837,                      0,                      0,                      0,                      0,                 3.7292,                 5.4412,                 4.1078,                 3.5741,                 10.672,                 4.1076,               0.011024,              0.0090238,              0.0090238
                     10,                 3.7172,                 5.1807,                 4.1103,                 3.5311,                 8.2896,                 4.1189,                0.00114,                0.07839,                0.00095,                0.00023,                 3.7257,                 5.4379,                 4.1059,                 3.5706,                 10.629,                 4.1066,               0.009109,               0.009109,               0.009109
                     11,                 3.8475,                 5.2482,                 4.1263,                 3.6273,                 8.6254,                 4.1293,                0.00037,                 0.0776,                0.00042,                 0.0001,                 3.7204,                 5.4373,                 4.1026,                 3.5633,                 10.546,                 4.1002,               0.009109,               0.009109,               0.009109
                     12,                 3.8356,                 5.1558,                 4.1254,                 3.7096,                 8.0953,                 4.1157,                0.00021,                0.02338,                 0.0002,                  5e-05,                 3.7018,                 5.4763,                 4.1278,                  3.481,                 10.086,                 4.1159,                0.00901,                0.00901,                0.00901
                     13,                 3.8907,                 5.2227,                 4.1028,                 3.6918,                 8.1371,                  4.094,                0.00035,                0.07078,                0.00035,                  8e-05,                 3.6682,                 5.5666,                 4.3155,                 3.4221,                 9.5213,                 4.3426,               0.008911,               0.008911,               0.008911
                     14,                 3.9141,                 5.3087,                 4.0905,                  3.745,                 8.7366,                 4.0511,                0.00037,                0.03466,                0.00038,                  9e-05,                 3.6632,                 5.7827,                 4.6728,                 3.3912,                 8.9738,                 4.9491,               0.008812,               0.008812,               0.008812
                     15,                  3.962,                 5.2561,                  4.086,                 3.8409,                 8.5051,                 4.0622,                 0.0004,                0.04212,                0.00035,                  8e-05,                 3.6531,                 6.4957,                 5.1749,                 3.3864,                 8.4432,                 5.8591,               0.008713,               0.008713,               0.008713
                     16,                 3.8861,                 5.1693,                 4.0476,                 3.7242,                 7.9865,                 3.9826,                0.00039,                 0.0379,                0.00029,                  7e-05,                 3.6887,                 9.6716,                 6.0825,                 3.4234,                 8.4064,                 7.2907,               0.008614,               0.008614,               0.008614
                     17,                 3.7596,                 5.1513,                 4.0575,                 3.6354,                 8.0409,                 4.0083,                0.00046,                0.03934,                0.00031,                  7e-05,                 3.7683,                 13.132,                 6.9332,                  3.396,                  8.805,                 8.2773,               0.008515,               0.008515,               0.008515
                     18,                 3.7818,                 5.1296,                 4.0409,                 3.5911,                 7.8294,                 3.9966,                0.00039,                0.03123,                0.00024,                  6e-05,                 3.7147,                 23.159,                 7.8457,                 3.3883,                 11.409,                 9.0425,               0.008416,               0.008416,               0.008416
                     19,                 3.7443,                 5.0955,                 4.0137,                 3.5934,                  7.884,                 3.9282,                0.00037,                0.03164,                0.00024,                  7e-05,                 3.7515,                 42.329,                 9.0277,                 3.4441,                  19.58,                 10.572,               0.008317,               0.008317,               0.008317
                     20,                 3.6825,                  4.974,                 4.0224,                 3.5211,                 7.4557,                 3.9933,                0.00043,                0.03502,                0.00025,                  7e-05,                 3.6239,                 16.861,                 7.9661,                 3.3487,                 7.5546,                 8.9297,               0.008218,               0.008218,               0.008218
                     21,                 3.7534,                 4.9821,                 3.9903,                 3.5117,                 7.4629,                 3.9234,                0.00039,                0.03003,                0.00022,                  5e-05,                 3.6075,                 28.085,                 8.1311,                 3.4202,                 7.7761,                 9.2585,               0.008119,               0.008119,               0.008119
                     22,                 3.6673,                 4.9985,                 3.9642,                 3.3939,                 7.2054,                 3.9214,                0.00035,                0.03075,                 0.0002,                  6e-05,                 3.5998,                 28.411,                 7.7498,                 3.3941,                 7.4672,                 9.3034,                0.00802,                0.00802,                0.00802
                     23,                 3.8341,                 4.8521,                 3.9148,                 3.6079,                  6.852,                 3.8452,                0.00022,                0.02019,                0.00012,                  4e-05,                 3.6811,                 101.15,                 8.8309,                 3.5812,                 13.126,                     13,               0.007921,               0.007921,               0.007921
                     24,                 3.7234,                 4.8252,                 3.8973,                  3.479,                 6.9475,                 3.8476,                0.00029,                 0.0299,                0.00016,                  5e-05,                 3.7042,                 103.34,                 8.7095,                 3.6276,                 13.653,                 11.644,               0.007822,               0.007822,               0.007822
                     25,                 3.8826,                 4.7996,                 3.9121,                 3.6827,                 6.8372,                 3.8434,                0.00031,                0.04503,                0.00018,                  5e-05,                 3.6926,                 21.667,                 6.7132,                 3.4364,                 7.1848,                 8.1733,               0.007723,               0.007723,               0.007723
                     26,                 3.7823,                 4.7605,                 3.8654,                 3.5788,                 6.7341,                 3.7802,                0.00029,                0.04173,                0.00017,                  5e-05,                 3.6394,                  15.49,                 6.6674,                  3.534,                 7.0118,                 7.5039,               0.007624,               0.007624,               0.007624
                     27,                 3.7203,                 4.7321,                 3.8713,                 3.5292,                 6.6934,                 3.8004,                0.00032,                0.04205,                0.00022,                  6e-05,                  3.694,                 9.9735,                 6.3608,                 3.5295,                 6.9082,                 7.0472,               0.007525,               0.007525,               0.007525
                     28,                 3.6757,                 4.6383,                 3.8325,                 3.3978,                   6.63,                 3.7746,                0.00037,                0.04795,                0.00023,                  6e-05,                 3.6735,                 6.8313,                 6.0619,                 3.4843,                 6.8995,                 6.4988,               0.007426,               0.007426,               0.007426
                     29,                 3.9207,                 4.5435,                 3.8173,                 3.6343,                  6.329,                  3.708,                0.00029,                0.04576,                0.00019,                  5e-05,                 3.6879,                 6.3678,                 5.0289,                 3.4739,                 6.9723,                 5.5099,               0.007327,               0.007327,               0.007327
                     30,                 3.7797,                  4.556,                 3.7908,                 3.5294,                 6.2657,                  3.717,                0.00027,                0.04276,                0.00017,                  5e-05,                 3.7094,                 6.2346,                  4.666,                 3.5019,                 6.9657,                 5.0064,               0.007228,               0.007228,               0.007228
                     31,                 3.7589,                 4.6268,                 3.7883,                 3.5073,                 6.3277,                 3.7078,                0.00031,                0.08641,                0.00025,                  6e-05,                 3.6905,                 5.7188,                 4.5705,                 3.5145,                 7.1156,                 4.8586,               0.007129,               0.007129,               0.007129
                     32,                 3.8805,                 4.5794,                 3.7703,                 3.5811,                 6.3548,                 3.6562,                0.00041,                0.08827,                0.00025,                  6e-05,                 3.6892,                 5.6332,                 4.4454,                  3.437,                  7.087,                 4.8402,                0.00703,                0.00703,                0.00703
                     33,                 3.7128,                 4.4647,                 3.7191,                 3.3876,                 6.0786,                 3.6095,                0.00039,                0.04979,                0.00024,                  6e-05,                 3.6707,                  5.625,                 4.0327,                 3.4138,                 7.0975,                 4.2432,               0.006931,               0.006931,               0.006931
                     34,                  3.606,                  4.508,                 3.6955,                 3.3733,                 6.1262,                 3.5862,                0.00031,                0.04967,                 0.0002,                  6e-05,                 3.6658,                 5.4866,                 3.9655,                 3.4225,                 7.0659,                  4.045,               0.006832,               0.006832,               0.006832
                     35,                 3.7717,                 4.3486,                 3.6638,                 3.4925,                 5.8221,                 3.5016,                 0.0003,                0.04577,                 0.0002,                  5e-05,                 3.6935,                 5.5437,                 3.8038,                 3.4413,                 7.1383,                 3.7207,               0.006733,               0.006733,               0.006733
                     36,                 3.6631,                  4.373,                 3.6264,                 3.4428,                 5.7861,                 3.4963,                0.00026,                0.05212,                0.00018,                  5e-05,                 3.6877,                 5.4612,                  3.717,                 3.4133,                 6.8911,                 3.6315,               0.006634,               0.006634,               0.006634
                     37,                  3.763,                 4.6364,                 3.5973,                 3.4892,                 6.1862,                 3.4275,                0.00029,                0.05584,                0.00021,                  6e-05,                 3.6867,                 5.2456,                 3.6876,                 3.4173,                 6.8197,                 3.6031,               0.006535,               0.006535,               0.006535
                     38,                 3.8859,                 4.4686,                 3.6067,                 3.6581,                 5.9734,                  3.455,                0.00029,                0.05682,                 0.0002,                  5e-05,                 3.6919,                  5.179,                 3.6845,                 3.4214,                 6.7191,                 3.6171,               0.006436,               0.006436,               0.006436
                     39,                 3.7957,                 4.2771,                 3.5631,                 3.4999,                 5.5186,                 3.3624,                0.00027,                0.05484,                0.00021,                  6e-05,                 3.7022,                 5.0106,                 3.6529,                 3.4032,                 6.6396,                 3.5424,               0.006337,               0.006337,               0.006337
                     40,                 3.7101,                 4.3659,                 3.5661,                 3.5091,                 5.6659,                 3.3986,                0.00034,                0.05877,                0.00025,                  7e-05,                 3.7118,                 5.2006,                 3.6956,                 3.4055,                 6.8529,                 3.5758,               0.006238,               0.006238,               0.006238
                     41,                 3.8411,                 4.3346,                 3.5306,                 3.4616,                 5.5141,                 3.2655,                 0.0003,                0.05332,                0.00025,                  6e-05,                 3.6984,                 5.1596,                 3.6486,                 3.4171,                 6.7147,                 3.5069,               0.006139,               0.006139,               0.006139
                     42,                 3.7842,                 4.0992,                 3.4926,                 3.4287,                 5.2533,                 3.2273,                0.00035,                0.05144,                0.00029,                  8e-05,                 3.6875,                 5.2857,                 3.6304,                 3.4075,                 6.6354,                    3.5,                0.00604,                0.00604,                0.00604
                     43,                 3.7852,                 4.4023,                 3.4948,                  3.419,                 5.5959,                 3.2118,                0.00027,                0.05144,                0.00024,                  6e-05,                  3.677,                 4.9451,                 3.6165,                  3.398,                 6.3224,                 3.5087,               0.005941,               0.005941,               0.005941
                     44,                 3.7169,                 4.3793,                 3.4636,                  3.493,                 5.5311,                 3.2403,                0.00025,                0.05529,                0.00024,                  6e-05,                 3.6531,                 4.8238,                 3.5605,                 3.3691,                 6.0558,                 3.3996,               0.005842,               0.005842,               0.005842
                     45,                 3.6715,                 4.3049,                 3.4409,                 3.4337,                 5.3158,                 3.2147,                0.00025,                  0.054,                0.00024,                  6e-05,                 3.6471,                 4.9236,                 3.5457,                  3.364,                 6.0506,                 3.3835,               0.005743,               0.005743,               0.005743
                     46,                 3.7733,                 4.1312,                 3.4232,                 3.4074,                 5.1443,                 3.1061,                 0.0002,                0.05346,                0.00017,                  4e-05,                 3.6341,                 4.9254,                 3.5283,                 3.3409,                 6.0225,                 3.3428,               0.005644,               0.005644,               0.005644
                     47,                 3.6322,                 4.3289,                 3.4484,                 3.3685,                 5.3257,                 3.1818,                 0.0003,                0.06051,                0.00025,                  6e-05,                 3.6026,                 4.8435,                 3.4753,                 3.2954,                 5.9139,                 3.2674,               0.005545,               0.005545,               0.005545
                     48,                 3.7137,                 4.1455,                 3.3626,                 3.4354,                 5.0961,                  3.068,                0.00031,                0.06806,                0.00026,                  6e-05,                 3.5852,                   4.75,                 3.4836,                 3.2717,                  5.811,                 3.2497,               0.005446,               0.005446,               0.005446
                     49,                  3.627,                  4.153,                 3.4162,                  3.345,                 5.1421,                  3.139,                0.00057,                0.08375,                0.00047,                0.00012,                 3.5397,                 4.6977,                 3.5199,                 3.2062,                 5.6968,                 3.2248,               0.005347,               0.005347,               0.005347
                     50,                 3.6254,                  4.201,                 3.4733,                 3.4462,                 5.1666,                 3.2337,                0.00058,                0.08783,                0.00052,                0.00014,                 3.5256,                 4.7182,                 3.5192,                 3.1833,                 5.6723,                 3.1764,               0.005248,               0.005248,               0.005248
                     51,                 3.5903,                 4.1273,                 3.3552,                 3.3575,                  5.035,                 3.0838,                0.00059,                0.09441,                0.00053,                0.00015,                 3.5149,                 4.7132,                 3.4997,                 3.1823,                 5.6367,                  3.143,               0.005149,               0.005149,               0.005149
                     52,                 3.6741,                 4.0371,                 3.3712,                 3.4244,                 4.9425,                 3.0943,                0.00073,                0.09551,                0.00075,                0.00022,                 3.5253,                 4.7806,                 3.5236,                 3.1673,                 5.6023,                 3.1388,                0.00505,                0.00505,                0.00505
                     53,                 3.6877,                 4.2534,                 3.4563,                 3.3363,                 5.0883,                 3.1289,                0.00051,                0.08858,                0.00044,                0.00013,                 3.5207,                 4.7453,                 3.4997,                  3.164,                 5.5641,                 3.1263,               0.004951,               0.004951,               0.004951
                     54,                 3.6746,                 4.0628,                 3.3137,                 3.3888,                 4.8452,                 2.9992,                0.00055,                0.08651,                0.00046,                0.00012,                 3.5149,                 4.8852,                 3.4729,                 3.1472,                 5.6973,                 3.0859,               0.004852,               0.004852,               0.004852
                     55,                 3.6282,                 4.0095,                 3.3652,                  3.347,                 4.8808,                 3.0695,                0.00059,                0.09344,                 0.0005,                0.00014,                 3.5192,                 5.0865,                 3.4742,                 3.1213,                 5.8618,                 3.0607,               0.004753,               0.004753,               0.004753
                     56,                 3.6786,                 4.1913,                 3.3907,                 3.3847,                  4.963,                 3.0471,                0.00076,                0.09426,                0.00057,                0.00017,                 3.5261,                 4.7833,                 3.4924,                 3.1494,                 5.5908,                 3.0766,               0.004654,               0.004654,               0.004654
                     57,                 3.5519,                 3.9467,                 3.3441,                 3.1393,                 4.7693,                 2.9709,                0.00081,                0.11096,                0.00069,                0.00019,                 3.4819,                 4.6721,                 3.4318,                 3.1551,                    5.5,                 3.0623,               0.004555,               0.004555,               0.004555
                     58,                 3.6297,                  3.894,                 3.3283,                 3.3366,                 4.6851,                 2.9407,                0.00079,                0.11001,                0.00075,                 0.0002,                 3.4753,                 4.5948,                 3.4218,                 3.1498,                 5.4153,                 3.0713,               0.004456,               0.004456,               0.004456
                     59,                 3.6319,                 4.0551,                 3.2483,                 3.1936,                 4.8095,                 2.8555,                0.00047,                0.07756,                0.00043,                 0.0001,                 3.4814,                 5.0388,                 3.4339,                 3.1363,                 5.8069,                 3.1804,               0.004357,               0.004357,               0.004357
                     60,                 3.5121,                 3.9654,                 3.2221,                 3.1276,                 4.6547,                 2.8856,                0.00074,                0.10286,                0.00071,                0.00018,                 3.4919,                 4.5298,                 3.4206,                 3.1239,                 5.3159,                 3.1534,               0.004258,               0.004258,               0.004258
